record_id,zone_id,zone_name,road,latitude,longitude,hour,vehicle_density,average_speed_kmh,queue_length_m,road_condition_score,accident_count,pedestrian_density,noise_db,signal_delay_sec,spillover_risk_percent,hotspot_composite_score,hotspot_risk_label,data_category
HOTSPOT-000015,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,0,0.314,21.8,513.5,0.83,0,0.52,87.7,14.9,29.4,32.9,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000016,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,14,0.641,14.3,959.6,0.63,0,0.68,91.4,62.8,49.9,56.1,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000017,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,17,0.99,5.9,1722.2,0.74,0,0.99,96.0,101.3,79.7,80.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000018,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,17,0.99,6.1,1564.5,0.65,0,0.9,95.7,109.4,78.8,80.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000019,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,0,0.29,21.6,459.9,0.66,0,0.42,87.0,10.0,29.0,32.0,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000020,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,17,0.99,5.2,1549.5,0.57,1,0.81,100.0,105.0,86.8,90.9,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000021,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,23,0.262,16.3,414.6,0.65,0,0.18,90.4,29.5,27.6,32.0,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000022,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,20,0.99,5.6,1732.1,0.73,0,1.0,90.6,118.7,73.7,81.0,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000023,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,9,0.99,5.0,1730.3,0.71,0,0.72,97.2,111.6,75.8,79.3,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000024,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,15,0.696,8.8,1071.3,0.6,1,0.62,93.5,74.2,67.8,72.4,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000025,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,20,0.99,7.8,1582.8,0.75,0,0.89,88.8,100.3,75.7,78.6,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000026,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,18,0.99,4.0,1625.5,0.67,0,1.0,95.6,111.4,76.3,82.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000027,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,11,0.99,7.2,1685.4,0.69,1,0.98,97.2,117.5,86.2,90.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000028,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.9982,77.6926,14,0.782,8.4,1260.8,0.56,1,0.46,96.1,82.1,74.4,76.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000029,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,0,0.304,23.2,591.5,0.78,0,0.38,80.7,10.0,32.8,31.6,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000030,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,5,0.345,32.4,639.3,0.81,0,0.26,82.4,20.0,26.6,26.6,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000031,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,10,0.99,9.1,1571.1,0.86,3,1.0,101.3,105.4,98.0,100.0,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000032,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,18,0.99,9.4,1557.7,0.8,0,0.9,87.2,104.5,77.1,77.3,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000033,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,15,0.651,13.7,1123.6,0.82,0,0.61,89.1,58.2,50.3,56.6,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000034,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,2,0.409,14.1,660.0,0.65,0,0.26,88.1,20.0,39.3,41.6,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000035,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,19,0.99,5.7,1632.4,0.98,0,0.81,93.5,111.3,78.7,77.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000036,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,4,0.456,13.0,840.4,0.63,0,0.39,91.9,29.0,43.8,47.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000037,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,9,0.99,4.6,1623.5,0.69,1,0.77,99.1,99.5,89.9,90.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000038,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,21,0.99,5.4,1592.5,0.65,1,0.95,102.2,118.6,87.5,91.3,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000039,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,4,0.343,19.7,602.7,0.97,0,0.55,88.3,35.4,37.0,35.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000040,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,4,0.409,16.0,704.6,0.65,0,0.39,87.8,39.7,41.9,42.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000041,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,16,0.686,18.9,1217.5,0.81,0,0.43,84.0,76.1,48.0,54.1,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000042,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,0,0.354,13.9,662.2,0.6,0,0.36,90.1,18.6,36.4,41.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000043,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,21,0.99,9.9,1672.3,0.86,1,0.87,91.8,102.2,85.3,86.4,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000044,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,22,0.2,22.7,371.6,0.73,0,0.43,81.8,18.6,28.4,26.8,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000045,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,5,0.357,17.3,571.7,0.8,0,0.33,84.1,30.6,30.7,36.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000046,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,9,0.99,4.6,1546.4,0.61,0,0.95,94.7,118.1,77.5,82.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000047,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,19,0.99,4.0,1589.3,0.67,0,0.97,96.6,122.1,78.7,82.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000048,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,18,0.99,5.6,1661.2,0.77,0,0.83,90.1,123.2,79.6,79.4,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000049,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,17,0.99,7.9,1613.8,0.75,0,0.84,94.5,120.3,75.1,78.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000050,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,5,0.435,14.1,778.7,0.75,0,0.24,92.1,33.0,36.7,42.9,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000051,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,22,0.182,25.0,359.5,0.91,0,0.14,86.1,14.6,17.8,21.1,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000052,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,12,0.694,11.8,1132.8,0.87,0,0.79,86.7,68.6,62.4,60.5,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000053,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,18,0.99,6.3,1653.7,0.67,0,0.75,96.6,116.0,73.2,79.0,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000054,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,16,0.793,7.7,1373.5,0.65,0,0.44,93.8,72.1,67.4,67.7,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000055,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,7,0.24,23.9,323.8,0.7,0,0.16,80.4,26.1,19.9,25.1,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000056,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,11,0.99,4.0,1634.1,0.63,0,0.75,94.9,112.0,75.4,80.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000057,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,21,0.99,6.2,1640.6,0.91,0,0.79,90.7,115.9,73.6,77.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000058,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,10,0.922,10.9,1539.5,0.8,0,0.89,89.1,92.1,67.1,73.9,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000059,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,10,0.99,4.3,1704.0,0.69,0,0.92,93.1,120.9,78.3,81.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000060,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,6,0.373,14.3,598.6,0.73,0,0.3,90.2,29.3,36.1,39.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000061,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,22,0.208,25.3,430.3,0.9,0,0.32,83.9,10.0,27.6,24.0,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000062,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,16,0.669,15.0,1097.2,0.67,0,0.41,85.7,55.8,54.7,55.6,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000063,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,18,0.99,4.6,1575.0,0.76,0,0.78,92.1,117.6,79.1,79.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000064,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,21,0.99,7.1,1552.7,0.79,0,0.83,87.7,107.1,73.0,78.4,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000065,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.9982,77.6926,4,0.409,16.1,670.7,0.67,1,0.3,93.8,42.6,44.6,50.6,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000066,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,22,0.194,26.8,403.0,0.89,0,0.19,82.9,12.1,16.6,21.3,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000067,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,12,0.869,5.0,1494.0,0.66,0,0.66,94.6,83.8,67.1,74.9,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000068,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,13,0.72,20.2,1280.9,0.96,0,0.74,83.8,68.7,53.3,56.5,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000069,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,14,0.75,14.3,1167.8,0.75,1,0.59,93.0,83.8,65.6,70.5,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000070,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,8,0.983,4.9,1633.3,0.87,0,0.98,92.6,105.7,75.6,80.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000071,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,5,0.295,32.6,484.9,0.87,0,0.35,81.7,15.6,18.0,23.5,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000072,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,6,0.386,11.3,575.7,0.58,1,0.48,93.5,39.3,55.0,54.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000073,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,9,0.956,7.6,1668.1,0.89,0,1.0,90.3,113.4,77.7,77.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000074,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.9982,77.6926,4,0.506,14.0,906.2,0.67,2,0.29,99.1,54.1,63.3,67.7,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000075,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,6,0.257,20.8,478.9,0.85,0,0.34,87.1,21.6,30.6,29.6,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000076,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,14,0.778,12.5,1220.2,0.69,0,0.63,85.4,67.3,64.3,63.9,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000077,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,20,0.99,6.2,1540.4,0.79,0,0.77,90.6,123.2,73.8,78.4,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000078,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,23,0.222,21.9,284.5,0.71,0,0.17,84.3,10.8,20.2,25.3,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000079,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,10,0.99,5.7,1613.3,0.68,0,0.91,94.1,105.9,79.9,80.6,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000080,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,4,0.464,12.7,717.3,0.71,0,0.52,93.0,33.8,47.7,46.6,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000081,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,9,0.99,6.2,1732.8,0.82,0,0.77,91.0,105.2,74.9,78.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000082,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,1,0.36,14.5,517.5,0.6,0,0.34,90.1,24.7,37.2,39.2,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000083,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,19,0.99,8.5,1726.1,0.73,0,0.91,88.6,120.2,74.0,78.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000084,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,8,0.99,5.7,1708.2,0.67,0,0.7,96.3,119.5,77.4,79.0,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000085,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,13,0.807,12.0,1249.0,0.81,0,0.66,90.5,70.2,64.4,64.8,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000086,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,16,0.584,14.3,910.4,0.83,0,0.71,83.4,60.9,52.6,52.5,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000087,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,11,0.977,8.7,1630.7,0.85,1,0.83,97.2,116.1,86.8,86.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000088,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,22,0.249,15.8,313.9,0.6,0,0.4,90.5,19.2,32.2,33.0,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000089,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,13,0.945,4.3,1588.3,0.59,1,0.75,100.8,103.3,84.1,89.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000090,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,22,0.206,21.7,304.6,0.81,1,0.3,87.5,10.0,33.0,35.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000091,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.9982,77.6926,16,0.696,9.6,1238.6,0.55,3,0.52,102.9,58.8,86.2,93.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000092,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,5,0.303,33.1,584.3,0.97,0,0.33,81.2,17.9,19.9,23.6,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000093,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,4,0.367,20.1,679.1,0.67,0,0.43,83.4,27.0,32.2,37.8,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000094,BLR-ECITY-02,Electronic City Toll,Hosur Elevated Expressway,12.8452,77.6602,20,0.99,11.0,1702.1,0.97,0,0.82,86.5,105.6,66.3,74.5,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000095,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,15,0.614,17.5,1046.6,0.81,2,0.48,90.4,48.9,70.8,71.2,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000096,BLR-SILK-01,Silk Board Junction,Hosur Road / Outer Ring Road,12.9176,77.6238,4,0.486,11.6,873.4,0.61,0,0.51,94.5,27.4,48.0,50.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000097,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,11,0.99,7.7,1538.9,0.69,0,0.98,93.8,110.7,75.7,79.8,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000098,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,8,0.99,4.0,1694.0,0.75,0,0.86,93.3,118.4,72.3,80.8,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000099,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,16,0.64,14.0,963.8,0.73,1,0.74,93.3,61.7,58.8,66.1,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000100,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,0,0.344,13.9,482.9,0.68,0,0.46,88.0,14.2,33.9,39.1,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000101,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,11,0.99,6.7,1698.9,0.73,0,0.9,89.7,104.5,78.7,79.6,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000102,BLR-ORR-08,Outer Ring Road Sarjapur Jn,Sarjapur-ORR Junction,12.9194,77.648,6,0.318,14.1,451.2,0.63,0,0.3,86.4,30.3,34.5,36.8,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000103,BLR-INDIRA-10,Indiranagar 100ft Road,100ft Road CMH Junction,12.9719,77.6412,20,0.99,7.8,1537.1,0.95,0,1.0,87.1,112.0,71.7,78.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000104,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,19,0.99,5.1,1680.1,0.82,0,1.0,89.7,110.9,75.2,80.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000105,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,18,0.99,7.2,1638.7,0.75,0,0.95,91.2,120.4,77.7,79.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000106,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,13,0.756,12.5,1326.3,0.71,0,0.59,85.6,68.7,61.8,63.7,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000107,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,18,0.99,4.0,1726.9,0.68,0,0.86,95.0,114.0,81.6,81.2,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000108,BLR-KRPUR-03,KR Puram Hanging Bridge,Old Madras Road / ORR,12.9982,77.6926,0,0.33,16.0,496.0,0.55,1,0.49,94.2,33.1,48.6,48.6,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
